,p_values_diff_spread,teams
0,0.26060000000000005,ATLANTA HAWKS
1,0.12819999999999998,BOSTON CELTICS
2,0.20179999999999998,BROOKLYN NETS
3,0.011399999999999966,CHARLOTTE HORNETS
4,0.05459999999999998,CHICAGO BULLS
5,0.00019999999999997797,CLEVELAND CAVALIERS
6,0.0021999999999999797,DALLAS MAVERICKS
7,0.031200000000000006,DENVER NUGGETS
8,0.0018000000000000238,DETROIT PISTONS
9,0.0013999999999999568,GOLDEN STATE WARRIORS
10,0.025399999999999978,HOUSTON ROCKETS
11,0.0,INDIANA PACERS
12,0.0006000000000000449,LA CLIPPERS
13,0.0,LOS ANGELES LAKERS
14,0.11980000000000002,MEMPHIS GRIZZLIES
15,0.009600000000000053,MIAMI HEAT
16,0.02980000000000005,MILWAUKEE BUCKS
17,0.0006000000000000449,MINNESOTA TIMBERWOLVES
18,0.03700000000000003,NEW ORLEANS PELICANS
19,0.03320000000000001,NEW YORK KNICKS
20,0.0,OKLAHOMA CITY THUNDER
21,0.03280000000000005,ORLANDO MAGIC
22,0.06059999999999999,PHILADELPHIA 76ERS
23,0.0040000000000000036,PHOENIX SUNS
24,0.00660000000000005,PORTLAND TRAIL BLAZERS
25,0.06720000000000004,SACRAMENTO KINGS
26,0.23119999999999996,SAN ANTONIO SPURS
27,0.005800000000000027,TORONTO RAPTORS
28,0.04200000000000004,UTAH JAZZ
29,0.0046000000000000485,WASHINGTON WIZARDS
